class,label,concept
707-320,0,"large, long aircraft with a sleek design"
707-320,0,"large, round windows"
707-320,0,"large, rounded nose that gives it a distinct look"
707-320,0,"large, swept-back wings"
707-320,0,"large, twin-engine jet airliner"
707-320,0,largely replaced by newer aircraft
707-320,0,later operated by a number of airlines including united airlines and british airways
707-320,0,length of 152 feet
707-320,0,length of 153 feet
707-320,0,length of 159 feet
707-320,0,lengthened by 10 feet (3 meters) to accommodate
707-320,0,light gray color with a hint of blue
707-320,0,located beneath the main body of the plane
707-320,0,located near the nose of the plane
707-320,0,located towards the front
707-320,0,long and slender fuselage
707-320,0,long range
707-320,0,"long, narrow body"
707-320,0,"long, narrow fuselage"
707-320,0,"long, pointed nose"
707-320,0,"long, sleek body"
707-320,0,"long, sleek body with a pointed nose"
707-320,0,"long, slender fuselage"
707-320,0,long-range flights
707-320,0,"long-range, medium- to large-size commercial jetliner"
707-320,0,longer and wider than the original 707-120
707-320,0,longer fuselage
707-320,0,looks almost new
707-320,0,looks amazing flying through the sky
707-320,0,"looks amazing in its signature color, boeing gray"
707-320,0,looks great with any color scheme
707-320,0,looks very clean and well-maintained
707-320,0,low noise level
707-320,0,low-wing monoplane with a swept wing and a t-tail
707-320,0,luxurious plane
707-320,0,"made its maiden flight on february 28, 1958"
707-320,0,made of aluminum
707-320,0,main body of the plane is long and slender
707-320,0,main wheels are located in the middle of the fuselage
707-320,0,make a great impression on anyone who sees it
707-320,0,make a lasting impression on those who fly it
707-320,0,makes anyone who sees it smile
707-320,0,makes it look clean and professional
707-320,0,many of these aircraft are still in service today
707-320,0,many still in service today
707-320,0,"maximum range of 5,235 miles"
707-320,0,"maximum range of 5,390 miles"
707-320,0,maximum speed of 575 miles per hour
707-320,0,maximum speed of 605 mph (973 km/h)
707-320,0,maximum speed of 630 mph
707-320,0,maximum speed of 685 miles per hour
707-320,0,"maximum takeoff weight of 181,000 pounds"
707-320,0,"maximum takeoff weight of 210,000 pounds"
707-320,0,"maximum takeoff weight of 255,000 pounds"
707-320,0,"maximum takeoff weight of 310,000 pounds"
707-320,0,"maximum takeoff weight of 347,000 pounds"
707-320,0,"maximum takeoff weight of 354,000 pounds"
707-320,0,"maximum takeoff weight of 400,000 pounds"
707-320,0,"maximum takeoff weight of around 400,000 pounds"
707-320,0,"maximum takeoff weight of over 400,000 pounds"
707-320,0,medium-sized jetliner with a slender fuselage and swept-
707-320,0,"medium-sized, twin-engine jetliner"
707-320,0,"mid-size, long-range jet airliner developed and manufactured by boeing commercial airplane"
707-320,0,more fuel-efficient than earlier models
707-320,0,more powerful engine than 707-120
707-320,0,"most common livery is the ""pan-american"" scheme of white with blue and red stripes"
707-320,0,mostly white
707-320,0,mounted in pods beneath the wings
707-320,0,mounted on pylons
707-320,0,mounted on pylons beneath the wings
707-320,0,mounted on pylons under the wings
707-320,0,narrow body
707-320,0,"narrow-body, four-engine jet airliner"
707-320,0,no longer in production
707-320,0,nose wheel located at the front
707-320,0,notable aviation accidents and incidents
707-320,0,offset by a white stripe that runs along its length
707-320,0,"one of the first jetliners to feature a distinctive ""t-tail"" configuration"
707-320,0,one of the first jetliners to feature a t-tail
707-320,0,one of the more stylish and modern looking aircraft out there
707-320,0,one of the most popular commercial aircraft ever produced
707-320,0,one of the most popular commercial aircraft in the world
707-320,0,one of the most recognisable jetliners in the world
707-320,0,one of the most recognizable aircraft in the world
707-320,0,one of the most recognizable and iconic aircraft of the 20th century
707-320,0,one of the most recognizable and iconic jetliners ever built
707-320,0,one of the most recognizable and iconic jetliners of all time
707-320,0,one of the most successful jet airliners ever produced
707-320,0,one of the most successful jetliners ever made
707-320,0,one of the most successful jetliners ever produced
707-320,0,one of the oldest models of the 707
707-320,0,only jetliner to be equipped with a hush kit
707-320,0,operated by a number of airlines around the world
707-320,0,operated by a number of airlines including pan american world airways and british
707-320,0,originally designed for transcontinental and international flights
707-320,0,"over 1,000 aircraft delivered"
707-320,0,"over 1,000 have been built"
707-320,0,over 150 feet long
707-320,0,overall length is just over 185 feet
707-320,0,painted a sleek white with blue accents
707-320,0,painted in a bright livery
707-320,0,"painted in a sleek, white color scheme"
707-320,0,"painted in a variety of color schemes, but most commonly in an all-white livery"
707-320,0,"painted in a variety of color schemes, depending on the airline"
707-320,0,painted white with blue stripes
707-320,0,pale blue
707-320,0,perfect choice for anyone looking for an aircraft that is sure to turn heads
707-320,0,perfect color for a jet that is meant to turn heads and get noticed
707-320,0,perfect color for a jet that spends its time in the air
707-320,0,perfect for any occasion
707-320,0,please passengers and crew alike
707-320,0,plenty of legroom for passengers
707-320,0,plenty of power and speed
707-320,0,plenty of room for passengers and their luggage
707-320,0,pointed nose
707-320,0,pointed nose and swept-back wings
707-320,0,popular aircraft with aviation enthusiasts
707-320,0,popular choice for airlines and passengers alike
707-320,0,popular with airlines
707-320,0,popular with airlines and passengers alike
707-320,0,popular with airlines around the world
707-320,0,powered by four jet engines
707-320,0,powered by four pratt & whitney jt3d engines
707-320,0,powered by four turbofan engines
707-320,0,powered by two pratt & whitney jt3d engines
707-320,0,powered by two pratt & whitney jt3d turbofan engines
707-320,0,powered by two turbofan engines
707-320,0,"powered by two turbofan engines, each providing 18,000 pounds of thrust"
707-320,0,powerful and fast aircraft
707-320,0,predominant color is white
707-320,0,pressurized cabin
707-320,0,produced by boeing
707-320,0,produced by boeing from 1958 to 1959
707-320,0,produced by boeing from 1958 to 1979
707-320,0,produced by boeing from 1959 to 1967
707-320,0,produced in both cargo and passenger versions
707-320,0,professional and stylish
707-320,0,prototype for the united states air force's c-135 stratolifter transport aircraft
707-320,0,provide good views for passengers
707-320,0,range of
707-320,0,"range of 4,345 miles"
707-320,0,"range of 4,350 miles"
707-320,0,"range of 5,235 miles"
707-320,0,"range of 5,500 miles"
707-320,0,"range of 5,650 to 6,175 nautical miles"
707-320,0,"range of 6,325 miles"
707-320,0,"range of around 5,000 miles"
707-320,0,range of over
707-320,0,"range of over 5,000 miles"
707-320,0,"range of over 6,000 miles"
707-320,0,"range of over 8,000 miles"
707-320,0,"range of up to 5,755 miles"
707-320,0,"range of up to 5,785 miles"
707-320,0,reach high speeds
707-320,0,reach speeds of up to 600 mph
707-320,0,reaching speeds of over 600 miles per hour
707-320,0,really makes the plane stand out
707-320,0,recognizable for its unique shape
707-320,0,recognized instantly by its unique shape and paint scheme
707-320,0,recognized worldwide
707-320,0,reduces engine noise
707-320,0,reliable and comfortable jetliner
707-320,0,reliable and efficient aircraft
707-320,0,reliable and safe aircraft
707-320,0,remains a popular choice for airlines
707-320,0,retired from commercial service in 2007
707-320,0,retired from commercial service in the early 21st century
707-320,0,safe and reliable aircraft
707-320,0,seat capacity of between 181 and 189 passengers
707-320,0,seat up to 182 passengers
707-320,0,seat up to 189 passengers
707-320,0,seat up to 189 passengers in a typical configuration
707-320,0,seat up to passengers in its spacious cabin
707-320,0,seat up to passengers in its spacious interior
707-320,0,"service ceiling of 35,000 feet"
707-320,0,sets the plane apart from other aircraft
707-320,0,silver with blue and white stripes running down the sides
707-320,0,situated at the front
707-320,0,sleek and modern design
707-320,0,sleek and modern looking aircraft
707-320,0,sleek and modern looking airplane
707-320,0,sleek and modern looking color scheme to match
707-320,0,sleek and modern looking plane
707-320,0,sleek design is sure to garner attention
707-320,0,"sleek, aerodynamic design"
707-320,0,"sleek, modern design"
707-320,0,"sleek, modern jet"
707-320,0,"sleek, modern looking aircraft with a sleek, aerodynamic design"
707-320,0,"sleek, stylish airliner"
707-320,0,small horizontal stabilizer at the top
707-320,0,sophisticated plane
707-320,0,spacious and comfortable
707-320,0,spacious cabin with plenty of room for passengers and luggage
707-320,0,spacious interior
707-320,0,spacious interior with comfortable seating for up to passengers
707-320,0,spacious interior with plenty of legroom
707-320,0,speeds of up to 600 miles per hour
707-320,0,state-of-the-art aircraft
707-320,0,state-of-the-art navigation system
707-320,0,still in production today
707-320,0,still in use today by some airlines
707-320,0,stretched version of the 707-120
707-320,0,striking blue color
707-320,0,strong safety record
707-320,0,stunning aircraft
707-320,0,stylish blue and white color scheme
707-320,0,succeeded by the 707-420
707-320,0,succeeded by the boeing 720 and 727
707-320,0,sure to impress anyone who sees it
707-320,0,swept wing design
707-320,0,swept-back wing
707-320,0,swept-back wing design
707-320,0,swept-back wings
707-320,0,swept-back wingspan
707-320,0,swept-wing design
707-320,0,t-tail
707-320,0,tail is fin-shaped
707-320,0,tail of the aircraft is tall and slender
707-320,0,take off and land on shorter runways
707-320,0,tall and slender
707-320,0,tall and thin
707-320,0,tall tail fin
707-320,0,"tall, vertical stabilizer with a rudder at the top"
707-320,0,tapered nose and large swept-back wings
707-320,0,tapered nose and swept-back wings
707-320,0,tapers towards the back
707-320,0,three wheels on each main gear and one on the nose gear
707-320,0,three-abreast configuration in economy class
707-320,0,timeless plane
707-320,0,tips are grey
707-320,0,top speed of 630 mph
707-320,0,"total of 1,010 aircrafts were built"
707-320,0,"total of 1,010 aircrafts were built before production ended in 1978"
707-320,0,"total of 1,010 aircrafts were produced"
707-320,0,total of aircrafts in service as of 2016
707-320,0,total of aircrafts were built
707-320,0,touch of silver near the tips of the wings
707-320,0,tricycle configuration
707-320,0,tricycle landing gear
707-320,0,tricycle landing gear configuration
707-320,0,tristar-shaped tail
707-320,0,turn heads
707-320,0,turn heads when it takes off
707-320,0,turn heads when it taxis down the runway
707-320,0,twin-engine airliner
707-320,0,twin-engine jetliner with a t-tail
707-320,0,"twin-engine, long-range commercial jet airliner"
707-320,0,"twin-engine, narrow-body commercial airliner"
707-320,0,"twin-engine, narrow-body jet airliner"
707-320,0,twin-engined airliner with a swept-back wing and a tail
707-320,0,two main wheels and a nose wheel
707-320,0,two of which are located on the wings
707-320,0,two on each side of the fuselage
707-320,0,two pilots and two flight attendants
707-320,0,typical cruising speed of 600 mph
707-320,0,typical cruising speed of around 600 mph
707-320,0,unique fuselage design that allows for more space in the cabin
707-320,0,"united airlines, pan american world airways, and lufthan"
707-320,0,up to 180 passengers
707-320,0,up to 181 passengers in a three-class configuration
707-320,0,up to 189 passengers
707-320,0,up to 189 passengers in a three-class configuration
707-320,0,up to 200 passengers
707-320,0,updated and stylish look
707-320,0,used as a military transport and
707-320,0,used by airlines today despite its age
707-320,0,used by many airlines around the world
707-320,0,used by many airlines over the years
707-320,0,used by many major airlines
707-320,0,used for a variety of purposes
707-320,0,used for transcontinental and international routes
707-320,0,used in a variety of settings
707-320,0,uses less fuel than other aircraft
707-320,0,versatile and reliable aircraft
707-320,0,versatile color
707-320,0,very comfortable and has a lot of space
707-320,0,very comfortable and spacious inside
707-320,0,very comfortable plane
707-320,0,very complex and interesting
707-320,0,very efficient
707-320,0,very fast
707-320,0,very fast plane
707-320,0,very popular plane
707-320,0,very quiet and has a smooth ride
707-320,0,very reliable and has a good safety record
707-320,0,very reliable plane
707-320,0,very rich and deep color
707-320,0,very striking airplane
707-320,0,very striking and eye-catching
707-320,0,very unique and special color
707-320,0,very versatile
707-320,0,very well-maintained
707-320,0,white body and wings
707-320,0,white body shining in the sun
707-320,0,white color
707-320,0,white color is a big part of that
707-320,0,white exterior only adds to that
707-320,0,white leather seats and gold accents
707-320,0,"white, with a blue and grey stripe running along the length of each"
707-320,0,wide body
707-320,0,wide-body aircraft
707-320,0,wide-body jetliner
707-320,0,will never go out of style
707-320,0,wings are swept back
707-320,0,wings are swept back and have a slight curve from them
707-320,0,wings are swept back and tapered
707-320,0,wingspan
707-320,0,wingspan is just over 150 feet
707-320,0,wingspan of 128 feet
707-320,0,wingspan of 145 feet
707-320,0,wingspan of 146 feet
707-320,0,wingspan of 156 feet
707-320,0,wingspan of 156 feet and a length of 153 feet
707-320,0,wingspan of just over 130 feet
707-320,0,wingtip fuel tank
707-320,0,with a pointed tip
707-320,0,with two aisles
707-320,0,workhorse of the skies
727-200,1,"1,352 aircraft built"
727-200,1,"1,831 aircraft built"
727-200,1,"1,831 aircraft delivered"
727-200,1,"1,831 delivered between 1968 and 1984"
727-200,1,"1,831st aircraft delivered"
727-200,1,"1,832 were built"
727-200,1,128 feet (39.1 m) long
727-200,1,131 feet long
727-200,1,149 to 189 passengers
727-200,1,149-189 passengers
727-200,1,164 feet long
727-200,1,18 feet 4 inches (5.59 m) longer than the 727-100
727-200,1,189 in a
727-200,1,218 passengers in a
727-200,1,235 passengers in
727-200,1,239 in
727-200,1,63.8 feet long
727-200,1,a number of aircrafts are still in service with cargo and charter airlines
727-200,1,a stretched fuselage
727-200,1,"a variety of color schemes, depending on the airline"
727-200,1,accommodate up to 149 passengers in a three-class configuration
727-200,1,accommodate up to 189 passengers
727-200,1,advanced engine design
727-200,1,airbus aircraft
727-200,1,and a larger wing
727-200,1,"available in a variety of colors, but the most popular is the white color"
727-200,1,based on the 727-100
727-200,1,beautiful aircraft
727-200,1,beautiful aircraft with a sleek design
727-200,1,"beautiful, modern jet with a unique color scheme"
727-200,1,best-selling jet airliner in the world during the 1970s
727-200,1,blue and red stripes
727-200,1,blue and red stripes running down the length of the fuselage
727-200,1,"blue, with red stripes"
727-200,1,boeing 737
727-200,1,bright silver
727-200,1,bright white
727-200,1,cabin can accommodate up to 189 passengers in a typical configuration
727-200,1,cabin is spacious and comfortable
727-200,1,can accommodate up to 149 passengers
727-200,1,capable of carrying up to 189 passengers
727-200,1,capable of operating from short airstrips
727-200,1,capacity of
727-200,1,capacity of 149 to 189 passengers
727-200,1,capacity of up to 149 passengers
727-200,1,capacity of up to 189 passengers
727-200,1,captain and first officer sitting side-by-side
727-200,1,carry up to 189 passengers
727-200,1,carry up to six passengers
727-200,1,carrying up to 149 passengers
727-200,1,clean and modern white
727-200,1,clean and sleek white
727-200,1,clean white
727-200,1,"climb at a rate of 2,700 feet per minute"
727-200,1,cockpit located at the front
727-200,1,color is a light blue
727-200,1,color is very calming and relaxing
727-200,1,color is very peaceful and calming
727-200,1,color is very quiet and calming
727-200,1,color is very refreshing and calming
727-200,1,color is very restful and calming
727-200,1,color is very serene and calming
727-200,1,color is very similar to the color of the sky
727-200,1,color is very soothing and calming
727-200,1,comfortable aircraft with a spacious cabin
727-200,1,comfortable cabin
727-200,1,comfortable white leather
727-200,1,company logo prominently displayed
727-200,1,configuration
727-200,1,configuration with three main landing gears and a nose gear
727-200,1,configuration with three-class cabin layout
727-200,1,continue to
727-200,1,crash of american airlines flight 191 in 1979
727-200,1,crew
727-200,1,crew of three
727-200,1,crew of two pilots
727-200,1,cruise at a speed of 575 miles per hour
727-200,1,"cruise at altitudes up to 35,000 feet"
727-200,1,cruise at speeds up to 575 mph
727-200,1,cruising speed of
727-200,1,cruising speed of 530 miles per hour
727-200,1,cruising speed of 530 mph
727-200,1,cruising speed of 559 mph
727-200,1,cruising speed of 565 miles per hour
727-200,1,cruising speed of 565 mph (951 km/h)
727-200,1,cruising speed of 575 miles per hour
727-200,1,cruising speed of 575 mph
727-200,1,cruising speed of 580 miles per hour
727-200,1,cruising speed of 806 km/h
727-200,1,cruising speed of 833 km/h
727-200,1,cruising speed of 834 km/h
727-200,1,cruising speed of around 600 miles per hour
727-200,1,"cruising speed of mach 0.84 (567 mph, 913 km/h)"
727-200,1,cruising speed of over 600 miles per hour
727-200,1,dark color
727-200,1,dark upper fuselage
727-200,1,"deep, dark color"
727-200,1,"deep, plush grey"
727-200,1,delivered to federal express in 1986
727-200,1,designed and built by boeing
727-200,1,dispatch reliability of over 99%
727-200,1,"distinctive ""hump"" on the forward fuselage, just behind the cockpit"
727-200,1,"distinctive ""hump"" on the second level, just behind the cockpit"
727-200,1,"distinctive ""tailfin"" design"
727-200,1,distinctive fuselage profile and a t-tail
727-200,1,distinctive hump on the fuselage near the cockpit
727-200,1,distinctive stepped-up cockpit
727-200,1,distinctive t-tail
727-200,1,distinctive t-tail and swept-wing design
727-200,1,each one
727-200,1,each one produces
727-200,1,"each with a thrust of 17,000 pounds-force (76 kn)"
727-200,1,easy to use
727-200,1,"empty weight of 97,500 pounds"
727-200,1,engine nacelles are often painted in a contrasting color
727-200,1,engines are powerful and reliable
727-200,1,engines being mounted on the rear fuselage
727-200,1,entered service with american airlines in 1963
727-200,1,entered service with american airlines in february 1963
727-200,1,equipped with a leading edge slats and trailing edge flaps to improve
727-200,1,equipped with a t-tail
727-200,1,equipped with an emergency locator transmitter
727-200,1,equipped with large and powerful brakes
727-200,1,"equipped with three main landing gears, each of which has two wheels"
727-200,1,"equipped with wingtip fuel tanks, which increase its range"
727-200,1,"eventually replaced by newer aircraft such as the 747, 757, and 767"
727-200,1,extended version of the 727-100
727-200,1,exterior is a sleek white
727-200,1,exterior is finished in a aluminum alloy
727-200,1,first class and other configurations are available
727-200,1,first delivered in 1964
727-200,1,first delivered to an airline in 1967
727-200,1,"first delivered to united airlines on february 28, 1963"
727-200,1,first flew in 1963
727-200,1,first flew in 1964
727-200,1,first flown in 1963
727-200,1,first introduced in 1963
727-200,1,first introduced in 1964
727-200,1,first introduced in 1967
727-200,1,first introduced into service in 1963
727-200,1,first jetliner to be equipped with winglets
727-200,1,first produced in 1963
727-200,1,"first, business, and economy class seats"
727-200,1,five main landing gear wheels
727-200,1,flight crew of three
727-200,1,flight engineer behind
727-200,1,fly at a maximum speed of 575 miles per hour (926 kilometers per hour)
727-200,1,for good reason
727-200,1,"fuel capacity of 11,489 l"
727-200,1,"fuel capacity of 5,277 gallons"
727-200,1,"fuel capacity of 5,638 gallons"
727-200,1,"fuel capacity of 5,685 gallons"
727-200,1,fuel efficient aircraft
727-200,1,fuselage diameter of 3.76 meters
727-200,1,fuselage has three sections
727-200,1,fuselage length of 153 feet
727-200,1,fuselage length of 153 feet (46.7 meters).
727-200,1,fuselage length of 157 feet (48 m) and a wingspan of
727-200,1,"fuselage, wings and tail"
727-200,1,good safety record
727-200,1,"great choice for any traveler looking for a reliable, comfortable, and efficient aircraft"
727-200,1,great choice for long-range travel
727-200,1,greatly contributed to the success of commercial aviation
727-200,1,grey and silver accents
727-200,1,grey headrests
727-200,1,height of 18.1 m
727-200,1,height of 37 feet
727-200,1,height of 41
727-200,1,help to find the aircraft in the event of an accident
727-200,1,high degree of power and speed
727-200,1,horizontal stabilizer mounted atop the vertical fin
727-200,1,iconic aircraft
727-200,1,ideal for short to medium-haul flights
727-200,1,ideal for use in developing countries
727-200,1,in all weather conditions
727-200,1,in production until 1984
